FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
56478,US,WQJX626,2,6197.24,30
56479,US,WQJX626,2,6315.84,30
56480,US,WQJX626,2,6375.14,30
56481,US,WQJX626,3,6226.89,30
56482,US,WQJX626,3,6286.19,30
56483,US,WQJX626,3,6345.49,30
56484,US,WQJX626,3,6404.79,30
56485,US,WQJX626,4,6315.84,30
56486,US,WQJX626,4,6375.14,30
56487,US,WQJX626,7,6795,10
56488,US,WQJX626,10,6286.19,30
56489,US,WQJX626,10,6345.49,30
56490,US,WQJX626,10,6404.79,30
56491,US,WQJX626,11,6197.24,30
56492,US,WQJX626,11,6315.84,30
56493,US,WQJX626,11,6375.14,30
56494,US,WQJX626,12,6226.89,30
56495,US,WQJX626,12,6286.19,30
56496,US,WQJX626,12,6345.49,30
56497,US,WQJX626,12,6404.79,30
56498,US,WQJX626,13,6315.84,30
56499,US,WQJX626,13,6375.14,30
56500,US,WQJX627,1,5945.2,30
56501,US,WQJX627,1,6004.5,30
56502,US,WQJX627,1,6063.8,30
56503,US,WQJX627,1,6123.1,30
56504,US,WQJX627,2,5974.85,30
56505,US,WQJX627,2,6034.15,30
56506,US,WQJX627,2,6093.45,30
56507,US,WQJX627,2,6152.75,30
56508,US,WQJX627,3,6034.15,30
56509,US,WQJX627,3,6093.45,30
56510,US,WQJX627,3,6152.75,30
56511,US,WQJX627,4,5945.2,30
56512,US,WQJX627,4,6063.8,30
56513,US,WQJX627,4,6123.1,30
56514,US,WQJX627,9,5945.2,30
56515,US,WQJX627,9,6004.5,30
56516,US,WQJX627,9,6063.8,30
56517,US,WQJX627,9,6123.1,30
56518,US,WQJX627,10,5974.85,30
56519,US,WQJX627,10,6034.15,30
56520,US,WQJX627,10,6093.45,30
56521,US,WQJX627,10,6152.75,30
56522,US,WQJX627,11,6034.15,30
56523,US,WQJX627,11,6093.45,30
56524,US,WQJX627,11,6152.75,30
56525,US,WQJX627,12,5945.2,30
56526,US,WQJX627,12,6063.8,30
56527,US,WQJX627,12,6123.1,30
56528,US,WQJX628,1,6197.24,30
56529,US,WQJX628,1,6256.54,30
56530,US,WQJX628,1,6315.84,30
56531,US,WQJX628,1,6375.14,30
56532,US,WQJX628,2,6226.89,30
56533,US,WQJX628,2,6286.19,30
56534,US,WQJX628,2,6345.49,30
56535,US,WQJX628,2,6404.79,30
56536,US,WQJX628,3,6197.24,30
56537,US,WQJX628,3,6256.54,30
56538,US,WQJX628,3,6315.84,30
56539,US,WQJX628,3,6375.14,30
56540,US,WQJX628,4,6226.89,30
56541,US,WQJX628,4,6286.19,30
56542,US,WQJX628,4,6345.49,30
56543,US,WQJX628,4,6404.79,30
56544,US,WQJX628,5,6197.24,30
56545,US,WQJX628,5,6256.54,30
56546,US,WQJX628,5,6315.84,30
56547,US,WQJX628,5,6375.14,30
56548,US,WQJX628,6,6226.89,30
56549,US,WQJX628,6,6286.19,30
56550,US,WQJX628,6,6345.49,30
56551,US,WQJX628,6,6404.79,30
56552,US,WQJX628,7,6197.24,30
56553,US,WQJX628,7,6256.54,30
56554,US,WQJX628,7,6315.84,30
56555,US,WQJX628,7,6375.14,30
56556,US,WQJX628,8,6226.89,30
56557,US,WQJX628,8,6286.19,30
56558,US,WQJX628,8,6345.49,30
56559,US,WQJX628,8,6404.79,30
56560,US,WQJX634,1,6004.5,30
56561,US,WQJX634,2,6034.15,30
56562,US,WQJX635,1,6286.19,30
56563,US,WQJX635,2,6226.89,30
56564,US,WQJX636,1,6256.54,30
56565,US,WQJX636,2,6315.84,30
56566,US,WQJX645,3,6256.54,30
56567,US,WQJX645,3,6315.84,30
56568,US,WQJX651,3,6123.1,30
56569,US,WQJX651,4,5945.2,30
56576,US,WQJX769,1,6695,5
56577,US,WQJX829,4,6345.49,30
56578,US,WQJX829,4,6375.14,30
56579,US,WQJX829,4,6404.79,30
56580,US,WQJX829,5,6725,30
56581,US,WQJX829,6,6256.54,30
56582,US,WQJX829,7,6595,30
56583,US,WQJX829,7,6625,30
56584,US,WQJX829,7,6685,30
56585,US,WQJX932,1,6560.625,3.75
56586,US,WQJX932,2,6595,30
56587,US,WQJX937,1,6790.625,3.75
56588,US,WQJX937,2,6063.8,30
56589,US,WQJY204,1,6660,5
56590,US,WQJY204,2,6705,10
56591,US,WQJY204,5,6315.84,30
56592,US,WQJY204,9,6375.14,30
56593,US,WQJY204,10,6286.19,30
56594,US,WQJY204,11,6375.14,30
56595,US,WQJY286,1,6226.89,30
56596,US,WQJY286,2,6286.19,30
56597,US,WQJY286,3,6152.75,30
56598,US,WQJY298,2,6256.54,30
56599,US,WQJY320,2,6004.5,30
56600,US,WQJY331,1,6197.24,30
56601,US,WQJY331,2,6286.19,30
56602,US,WQJY332,1,6226.89,10
56603,US,WQJY332,2,6256.54,10
56604,US,WQJY334,1,6034.15,30
56605,US,WQJY334,2,6063.8,30
56606,US,WQJY336,1,6605,10
56607,US,WQJY338,1,6004.5,10
56608,US,WQJY338,2,6034.15,10
56609,US,WQJY339,2,6855,10
56610,US,WQJY339,3,6845,10
56611,US,WQJY339,4,6805,10
56615,US,WQJY341,1,6034.15,30
56616,US,WQJY395,1,6315.84,30
56617,US,WQJY395,2,6315.84,30
56618,US,WQJY396,1,6795,10
56619,US,WQJY397,1,6765,10
56620,US,WQJY400,1,6375.14,30
56621,US,WQJY400,2,6345.49,30
56622,US,WQJY400,3,6404.79,30
56623,US,WQJY400,4,6815,10
56624,US,WQJY400,5,6345.49,30
56625,US,WQJY400,6,6404.79,30
56626,US,WQJY401,1,6605,10
56627,US,WQJY401,2,6635,10
56628,US,WQJY404,1,6152.75,30
56629,US,WQJY404,2,6152.75,30
56630,US,WQJY415,1,6412.2,5
56631,US,WQJY415,2,6394.91,10
56632,US,WQJY415,3,6595,30
56633,US,WQJY415,3,6655,30
56634,US,WQJY415,4,6555,30
56635,US,WQJY415,4,6625,30
56636,US,WQJY539,2,6286.19,30
56637,US,WQJY578,1,6345.49,30
56638,US,WQJY578,2,6197.24,30
56639,US,WQJY583,1,5945.2,30
56640,US,WQJY583,2,6034.15,30
56641,US,WQJY686,2,6805,10
56642,US,WQJY767,1,6093.45,30
56643,US,WQJY767,2,6034.15,30
56644,US,WQJY767,3,5974.85,30
56645,US,WQJY781,2,6004.5,30
56646,US,WQJY852,2,6256.54,30
56647,US,WQJY852,4,6315.84,30
56648,US,WQJZ518,1,6286.19,30
56649,US,WQJZ518,2,6226.89,30
56650,US,WQJZ521,1,6256.54,30
56651,US,WQJZ521,2,6315.84,30
56652,US,WQJZ533,1,6063.8,30
56653,US,WQJZ533,2,5974.85,30
56654,US,WQJZ678,2,6286.19,30
56655,US,WQJZ681,2,6093.45,30
56656,US,WQJZ692,1,6197.24,30
56657,US,WQJZ692,2,6345.49,30
56658,US,WQJZ700,1,6286.19,30
56659,US,WQJZ702,1,6034.15,30
56660,US,WQJZ702,2,6004.5,30
56661,US,WQJZ725,1,5945.2,30
56662,US,WQJZ725,2,6004.5,30
56663,US,WQJZ725,3,6034.15,30
56664,US,WQJZ725,4,6063.8,30
56665,US,WQJZ725,5,6835,10
56666,US,WQJZ726,1,6256.54,30
56667,US,WQJZ727,3,6315.84,30
56668,US,WQJZ728,3,6675,10
56669,US,WQJZ742,1,5945.2,30
56670,US,WQJZ742,2,6093.45,30
56671,US,WQJZ743,1,6805,10
56672,US,WQJZ743,4,6004.5,30
56673,US,WQJZ744,1,6197.24,30
56674,US,WQJZ745,1,5945.2,30
56675,US,WQJZ745,2,6093.45,30
56676,US,WQJZ746,1,6197.24,30
56677,US,WQJZ746,5,6197.24,30
56678,US,WQJZ753,2,5974.85,30
56679,US,WQJZ753,3,5945.2,30
56680,US,WQJZ760,1,5974.85,30
56681,US,WQJZ761,1,6226.89,30
56682,US,WQJZ763,3,6197.24,30
56683,US,WQJZ763,4,6197.24,30
56684,US,WQJZ763,5,6197.24,30
56685,US,WQJZ763,6,6197.24,30
56686,US,WQJZ765,2,6226.89,30
56687,US,WQJZ809,1,6063.8,30
56688,US,WQJZ809,2,5974.85,30
56689,US,WQJZ809,3,6004.5,30
56690,US,WQJZ893,1,6004.5,28
56691,US,WQJZ894,1,6256.54,28
56692,US,WQJZ902,1,6004.5,30
56693,US,WQJZ902,2,5974.85,30
56694,US,WQJZ906,1,6226.89,30
56695,US,WQJZ906,2,6256.54,30
56696,US,WQJZ908,1,6197.24,30
56697,US,WQJZ908,2,6256.54,30
56698,US,WQKA249,1,6745,5
56699,US,WQKA249,2,6256.54,30
56700,US,WQKA254,4,6226.89,30
56701,US,WQKA254,5,6345.49,30
56702,US,WQKA255,2,5945.2,30
56703,US,WQKA256,3,5974.85,30
56704,US,WQKA257,3,6345.49,30
56705,US,WQKA257,4,6226.89,30
56706,US,WQKA258,2,6093.45,30
56707,US,WQKA259,1,6197.24,30
56708,US,WQKA262,2,6315.84,30
56709,US,WQKA262,5,6315.84,30
56710,US,WQKA270,3,6226.89,30
56711,US,WQKA270,3,6375.14,30
56712,US,WQKA270,4,6256.54,30
56713,US,WQKA270,4,6315.84,30
56714,US,WQKA272,2,6805,10
56715,US,WQKA272,3,6404.79,30
56716,US,WQKA275,4,6226.89,30
56717,US,WQKA275,4,6315.84,30
56718,US,WQKA275,5,6345.49,30
56719,US,WQKA275,6,6375.14,30
56720,US,WQKA276,2,6615,10
56721,US,WQKA295,7,5960.025,60
56722,US,WQKA295,8,5960.025,60
56723,US,WQKA296,3,6034.15,30
56724,US,WQKA296,3,6093.45,30
56725,US,WQKA296,5,6063.8,30
56726,US,WQKA296,5,6152.75,30
56727,US,WQKA316,2,6286.19,30
56728,US,WQKA316,2,6375.14,30
56729,US,WQKA316,5,6605,10
56730,US,WQKA316,6,6645,10
56731,US,WQKA316,8,6315.84,30
56732,US,WQKA316,8,6404.79,30
56733,US,WQKA320,1,5955.08,10
56734,US,WQKA322,1,6034.15,30
56735,US,WQKA322,1,6123.1,30
56736,US,WQKA322,2,5945.2,30
56737,US,WQKA323,2,6675,10
56738,US,WQKA324,2,6765,10
56739,US,WQKA325,2,6645,10
56740,US,WQKA335,5,6004.5,30
56741,US,WQKA335,6,6093.45,30
56742,US,WQKA336,6,6805,10
56743,US,WQKA336,7,6004.5,30
56744,US,WQKA336,7,6063.8,30
56745,US,WQKA336,8,6093.45,30
56746,US,WQKA336,9,6123.1,30
56747,US,WQKA344,1,6805,30
56748,US,WQKA345,1,6345.49,30
56749,US,WQKA345,2,6197.24,30
56750,US,WQKA345,3,6645,10
56751,US,WQKA345,4,6256.54,30
56752,US,WQKA403,1,6375.14,30
56753,US,WQKA410,3,6093.45,30
56754,US,WQKA467,2,6625,5
56755,US,WQKA467,3,6635,10
56756,US,WQKA472,2,6695,5
56757,US,WQKA472,3,6785,10
56758,US,WQKA472,4,6795,10
56759,US,WQKA479,1,6670,5
56760,US,WQKA479,2,6775,5
56761,US,WQKA481,1,6825,5
56762,US,WQKA543,1,6605,30
56763,US,WQKA543,2,5945.2,30
56764,US,WQKA544,1,5945.2,30
56765,US,WQKA544,2,6765,30
56766,US,WQKA544,4,5945.2,30
56767,US,WQKA544,5,6725,30
56768,US,WQKA545,1,5974.85,30
56769,US,WQKA545,2,6034.15,30
56770,US,WQKA545,3,6093.45,30
56771,US,WQKA545,4,6152.75,30
56772,US,WQKA556,1,6152.75,30
56773,US,WQKA556,2,6725,10
56774,US,WQKA556,3,6152.75,30
56775,US,WQKA556,4,6725,10
56776,US,WQKA620,5,6815,30
56777,US,WQKA620,6,6815,30
56778,US,WQKA620,18,6685,30
56779,US,WQKA620,19,6375.14,30
56782,US,WQKA641,2,6725,30
56783,US,WQKA641,2,6785,30
56784,US,WQKA700,2,6345.49,30
56785,US,WQKA700,2,6404.79,30
56786,US,WQKA705,3,6063.8,30
56787,US,WQKA715,2,6695,30
56788,US,WQKA727,4,6315.84,30
56789,US,WQKA727,5,6286.19,30
56790,US,WQKA727,6,6315.84,30
56791,US,WQKA727,7,6286.19,30
56792,US,WQKA728,2,6063.8,30
56793,US,WQKA728,3,6034.15,30
56794,US,WQKA728,4,6063.8,30
56795,US,WQKA728,5,6034.15,30
56796,US,WQKA730,3,6404.79,30
56797,US,WQKA731,2,6256.54,30
56798,US,WQKA731,3,6152.75,30
56799,US,WQKA764,2,6404.79,30
56800,US,WQKA772,1,6585,5
56801,US,WQKA838,1,6635,10
56802,US,WQKA838,2,5945.2,30
56803,US,WQKA838,3,5945.2,30
56804,US,WQKA838,4,6845,10
56805,US,WQKA838,5,5974.85,30
56806,US,WQKA838,6,6152.75,30
56807,US,WQKA839,1,6795,10
56808,US,WQKA839,2,6404.79,30
56809,US,WQKA840,2,5945.2,30
56810,US,WQKA840,2,6093.45,30
56811,US,WQKA840,3,6775.625,3.75
56812,US,WQKA840,4,6004.5,30
56813,US,WQKA841,2,6226.89,30
56814,US,WQKA962,1,6610,5
56815,US,WQKA962,2,6640,5
56818,US,WQKA963,1,6800,5
56819,US,WQKA963,2,6375.14,30
56821,US,WQKA964,1,5974.85,30
56822,US,WQKA964,2,6404.79,30
56823,US,WQKA965,1,6605,30
56824,US,WQKA966,1,6765,30
56825,US,WQKB360,3,5974.85,30
56826,US,WQKB360,4,5945.2,30
56827,US,WQKB360,5,5945.2,30
56828,US,WQKB360,5,6004.5,30
56829,US,WQKB360,6,5974.85,30
56830,US,WQKB363,4,6286.19,30
56831,US,WQKB363,5,6286.19,30
56832,US,WQKB363,5,6375.14,30
56833,US,WQKB436,1,6286.19,30
56834,US,WQKB436,2,6197.24,30
56837,US,WQKB437,1,5945.2,30
56838,US,WQKB438,1,6345.49,30
56839,US,WQKB438,1,6404.79,30
56840,US,WQKB438,2,6375.14,30
56841,US,WQKB438,2,6695,30
56842,US,WQKB438,3,6315.84,30
56843,US,WQKB530,5,5974.85,30
56844,US,WQKB530,5,6063.8,30
56845,US,WQKB530,6,6286.19,30
56846,US,WQKB530,6,6345.49,30
56847,US,WQKB530,7,6835,10
56848,US,WQKB530,8,6775,10
56849,US,WQKB543,21,5960.025,60
56850,US,WQKB543,22,6330.665,60
56851,US,WQKB621,1,6735.625,3.75
56852,US,WQKB623,1,6565.625,3.75
56853,US,WQKB906,12,6226.89,30
56854,US,WQKB906,13,6197.24,30
56855,US,WQKB906,13,6256.54,30
56856,US,WQKB906,14,6345.49,30
56857,US,WQKB906,15,6315.84,30
56858,US,WQKB906,15,6375.14,30
56859,US,WQKB908,3,6271.365,60
56860,US,WQKB996,1,6226.89,29.6
56861,US,WQKB996,5,6137.925,60
56862,US,WQKB996,6,5960.025,60
56863,US,WQKB997,1,5974.85,29.6
56864,US,WQKB997,5,6389.965,60
56865,US,WQKB997,6,6212.065,60
56866,US,WQKB997,7,6271.365,60
56867,US,WQKB997,8,6389.965,60
56868,US,WQKC260,1,6034.15,30
56869,US,WQKC277,3,6815,30
56870,US,WQKC277,4,6404.79,30
56871,US,WQKC305,1,6063.8,30
56872,US,WQKC305,2,6093.45,30
56873,US,WQKC305,3,6063.8,30
56874,US,WQKC305,4,5974.85,30
56875,US,WQKC305,5,6093.45,30
56876,US,WQKC305,6,6093.45,30
56877,US,WQKC305,7,6835,10
56878,US,WQKC358,1,6034.15,10
56879,US,WQKC433,1,6093.45,10
56880,US,WQKC433,2,5945.2,10
56881,US,WQKC535,2,6004.5,30
56882,US,WQKC535,2,6063.8,30
56883,US,WQKC535,2,6152.75,30
56884,US,WQKC537,1,6755,5
56886,US,WQKC661,2,6226.89,30
56887,US,WQKC662,2,6271.365,60
56888,US,WQKC662,3,6093.45,30
56889,US,WQKC663,2,5945.2,30
56890,US,WQKC726,2,5974.85,30
56891,US,WQKC726,3,5945.2,30
56892,US,WQKC760,1,6286.19,10
56893,US,WQKC760,2,6665,30
56894,US,WQKC889,1,6004.5,25.7
56895,US,WQKC891,1,6315.84,25.7
56896,US,WQKC900,4,6725,30
56897,US,WQKC993,2,6286.19,30
56898,US,WQKD359,2,6315.84,30
56899,US,WQKD359,3,6315.84,30
56900,US,WQKD360,3,6226.89,30
56901,US,WQKD360,4,6226.89,30
56902,US,WQKD378,1,6226.89,30
56903,US,WQKD378,1,6286.19,30
56904,US,WQKD378,1,6345.49,30
56905,US,WQKD378,1,6404.79,30
56906,US,WQKD378,2,6197.24,30
56907,US,WQKD378,2,6256.54,30
56908,US,WQKD378,2,6315.84,30
56909,US,WQKD378,2,6375.14,30
56910,US,WQKD378,3,6226.89,30
56911,US,WQKD378,3,6286.19,30
56912,US,WQKD378,3,6345.49,30
56913,US,WQKD378,3,6404.79,30
56914,US,WQKD378,4,6197.24,30
56915,US,WQKD378,4,6256.54,30
56916,US,WQKD378,4,6315.84,30
56917,US,WQKD378,4,6375.14,30
56918,US,WQKD379,1,5974.85,30
56919,US,WQKD379,1,6034.15,30
56920,US,WQKD379,1,6093.45,30
56921,US,WQKD379,1,6152.75,30
56922,US,WQKD379,2,5945.2,30
56923,US,WQKD379,2,6004.5,30
56924,US,WQKD379,2,6063.8,30
56925,US,WQKD379,2,6123.1,30
56926,US,WQKD379,3,5945.2,30
56927,US,WQKD379,3,6004.5,30
56928,US,WQKD379,3,6063.8,30
56929,US,WQKD379,3,6123.1,30
56930,US,WQKD379,4,5974.85,30
56931,US,WQKD379,4,6034.15,30
56932,US,WQKD379,4,6093.45,30
56933,US,WQKD379,4,6152.75,30
56934,US,WQKD379,5,5974.85,30
56935,US,WQKD379,5,6034.15,30
56936,US,WQKD379,5,6093.45,30
56937,US,WQKD379,5,6152.75,30
56938,US,WQKD379,6,5945.2,30
56939,US,WQKD379,6,6004.5,30
56940,US,WQKD379,6,6063.8,30
56941,US,WQKD379,6,6123.1,30
56942,US,WQKD379,7,5945.2,30
56943,US,WQKD379,7,6004.5,30
56944,US,WQKD379,7,6063.8,30
56945,US,WQKD379,7,6123.1,30
56946,US,WQKD379,8,5974.85,30
56947,US,WQKD379,8,6034.15,30
56948,US,WQKD379,8,6093.45,30
56949,US,WQKD379,8,6152.75,30
56950,US,WQKD387,3,6286.19,30
56951,US,WQKD387,4,6315.84,30
56952,US,WQKD387,5,6286.19,30
56953,US,WQKD387,6,6315.84,30
56954,US,WQKD398,2,5974.85,30
56955,US,WQKD399,2,6123.1,30
56956,US,WQKD400,2,6226.89,30
56957,US,WQKD400,3,6315.84,30
56958,US,WQKD446,1,5974.85,30
56959,US,WQKD446,2,5974.85,30
56960,US,WQKD453,1,6345.49,10
56961,US,WQKD480,1,6404.79,30
56962,US,WQKD480,2,6256.54,30
56963,US,WQKD481,1,6256.54,30
56964,US,WQKD481,2,6286.19,30
56965,US,WQKD482,1,6034.15,30
56966,US,WQKD482,2,6093.45,30
56967,US,WQKD483,1,6004.5,30
56968,US,WQKD483,2,6345.49,30
56969,US,WQKD485,1,6286.19,30
56970,US,WQKD485,1,6345.49,30
56971,US,WQKD485,2,6197.24,30
56972,US,WQKD485,2,6286.19,30
56973,US,WQKD485,3,6256.54,30
56974,US,WQKD485,4,6315.84,30
56975,US,WQKD485,5,6226.89,30
56976,US,WQKD485,5,6315.84,30
56977,US,WQKD486,1,5945.2,30
56978,US,WQKD486,1,6034.15,30
56979,US,WQKD486,2,6004.5,30
56980,US,WQKD486,3,6093.45,30
56981,US,WQKD486,4,6555,30
56982,US,WQKD486,5,5974.85,30
56983,US,WQKD486,5,6063.8,30
56984,US,WQKD486,6,6655,30
56985,US,WQKD486,9,6123.1,30
56986,US,WQKD487,1,6256.54,30
56987,US,WQKD487,2,6197.24,30
56988,US,WQKD487,3,6345.49,30
56989,US,WQKD487,4,6725,30
56990,US,WQKD487,8,6315.84,30
56991,US,WQKD487,8,6404.79,30
56992,US,WQKD487,9,6785,30
56993,US,WQKD487,9,6845,30
56994,US,WQKD497,1,6197.24,10
56995,US,WQKD497,3,6286.19,10
56996,US,WQKD499,3,6197.24,30
56997,US,WQKD499,4,6226.89,30
56998,US,WQKD499,5,6805,30
56999,US,WQKD499,8,6845,30
57000,US,WQKD501,1,6650.625,3.75
57001,US,WQKD501,2,6635.625,3.75
57002,US,WQKD501,3,6595,10
57003,US,WQKD501,4,6605,10
57006,US,WQKD502,1,6795.625,3.75
57007,US,WQKD504,1,5974.85,30
57008,US,WQKD504,2,5945.2,30
57009,US,WQKD504,3,6093.45,30
57010,US,WQKD504,4,6004.5,30
57011,US,WQKD504,5,6063.8,30
57012,US,WQKD504,6,6034.15,30
57013,US,WQKD518,1,6276.31,10
57014,US,WQKD518,2,6207.12,10
57015,US,WQKD560,2,6815,10
57016,US,WQKD565,1,5945.2,30
57017,US,WQKD565,2,6063.8,30
57018,US,WQKD565,3,6315.84,30
57019,US,WQKD565,4,6655,30
57020,US,WQKD565,5,6345.49,30
57021,US,WQKD565,6,6315.84,30
57022,US,WQKD565,7,6345.49,30
57023,US,WQKD566,1,6004.5,30
57024,US,WQKD566,2,6034.15,30
57025,US,WQKD566,3,6256.54,30
57026,US,WQKD566,4,6286.19,30
57027,US,WQKD566,5,6256.54,30
57028,US,WQKD566,6,6286.19,30
57029,US,WQKD567,1,6004.5,30
57030,US,WQKD567,2,6034.15,30
57031,US,WQKD567,3,6004.5,30
57032,US,WQKD567,4,6034.15,30
57033,US,WQKD568,2,6795,5
57034,US,WQKD568,5,6755,10
57035,US,WQKD568,6,6815,10
57036,US,WQKD568,7,6745,10
57037,US,WQKD569,2,6585,10
57038,US,WQKD570,1,6635,5
57039,US,WQKD573,8,6137.925,55
57040,US,WQKD628,1,6093.45,30
57041,US,WQKD628,2,6004.5,30
57042,US,WQKD629,1,6197.24,30
57043,US,WQKD629,2,6345.49,30
57044,US,WQKD630,1,6034.15,30
57045,US,WQKD630,2,6093.45,30
57046,US,WQKD631,1,6286.19,30
57047,US,WQKD631,2,6345.49,30
57048,US,WQKD635,2,6345.49,30
57049,US,WQKD635,3,6404.79,30
57050,US,WQKD639,1,5945.2,30
57051,US,WQKD639,2,6063.8,30
57052,US,WQKD796,2,6765,10
57053,US,WQKD796,3,6093.45,30
57054,US,WQKD834,4,6034.15,30
57055,US,WQKD834,5,5945.2,30
57056,US,WQKD835,4,6345.49,30
57057,US,WQKD951,1,6286.19,30
57058,US,WQKD951,2,6152.75,30
57059,US,WQKD966,1,6315.84,30
57060,US,WQKD966,2,6256.54,30
57061,US,WQKD995,7,6004.5,30
57062,US,WQKD995,8,6034.15,30
57063,US,WQKE206,2,6595.625,3.75
57064,US,WQKE213,1,6775,30
57065,US,WQKE213,2,6110.75,5
57066,US,WQKE213,4,6113.22,10
57067,US,WQKE213,7,6785,30
57068,US,WQKE214,2,6805,30
57069,US,WQKE215,1,6645,30
57070,US,WQKE215,2,6615,30
57071,US,WQKE215,3,6645,30
57072,US,WQKE215,4,6685,30
57073,US,WQKE215,5,6625,30
57074,US,WQKE322,1,6142.87,10
57075,US,WQKE322,2,6605,5
57076,US,WQKE378,2,6217.01,10
57077,US,WQKE417,2,6024.27,10
57078,US,WQKE417,3,5964.97,10
57079,US,WQKE417,4,5955.08,10
57080,US,WQKE417,5,6034.15,10
57081,US,WQKE438,1,6755,5
57082,US,WQKE438,2,6785,5
57083,US,WQKE535,3,6685,30
57084,US,WQKE535,4,6034.15,30
57085,US,WQKE535,5,6152.75,30
57086,US,WQKE540,4,6034.15,30
57087,US,WQKE540,4,6093.45,30
57088,US,WQKE540,4,6152.75,30
57089,US,WQKE737,2,6725,10
57090,US,WQKE737,4,6715,10
57091,US,WQKE794,1,6345.49,30
57092,US,WQKE794,2,6375.14,30
57093,US,WQKE794,3,6256.54,30
57094,US,WQKE795,1,5945.2,30
57095,US,WQKE795,2,6034.15,30
57096,US,WQKE795,3,6093.45,30
57097,US,WQKE795,4,6123.1,30
57098,US,WQKE795,5,6063.8,30
57099,US,WQKE795,5,6123.1,30
57100,US,WQKE796,1,6197.24,30
57101,US,WQKE796,2,6256.54,30
57102,US,WQKE796,3,6404.79,30
57103,US,WQKE796,4,6315.84,30
57104,US,WQKE796,4,6375.14,30
57105,US,WQKE797,1,6093.45,30
57106,US,WQKE797,2,6004.5,30
57107,US,WQKE800,1,6226.89,30
57108,US,WQKE800,2,6795,30
57109,US,WQKE800,3,6286.19,30
57110,US,WQKE800,3,6345.49,30
57111,US,WQKE800,4,6315.84,30
57112,US,WQKE800,5,6256.54,30
57113,US,WQKE800,7,6197.24,30
57114,US,WQKE800,10,6845,30
57115,US,WQKE802,1,5974.85,30
57116,US,WQKE802,2,6034.15,30
57117,US,WQKE802,5,5945.2,30
57118,US,WQKE802,6,6004.5,30
57119,US,WQKE802,7,6755,30
57120,US,WQKE802,8,6725,30
57121,US,WQKE802,9,6785,30
57122,US,WQKE802,10,6845,30
57123,US,WQKE803,1,6286.19,30
57124,US,WQKE803,2,6315.84,30
57125,US,WQKE803,3,6256.54,30
57126,US,WQKE803,4,6345.49,30
57127,US,WQKE804,1,6063.8,30
57128,US,WQKE804,2,6093.45,30
57129,US,WQKE817,1,6155.839,3.75
57130,US,WQKE859,4,6595,10
57131,US,WQKE871,2,6750.625,3.75
57132,US,WQKE871,3,6825.625,3.75
57133,US,WQKE872,3,6815.625,3.75
57134,US,WQKE917,2,6655.625,3.75
57135,US,WQKF279,2,6645,10
57136,US,WQKF386,1,6226.89,30
57137,US,WQKF387,1,6345.49,30
57138,US,WQKF387,2,6226.89,30
57139,US,WQKF387,5,6271.365,60
57140,US,WQKF388,1,5974.85,30
57141,US,WQKF388,2,6093.45,30
57142,US,WQKF391,1,6845,10
57143,US,WQKF391,2,6805,10
57144,US,WQKF391,3,6725,30
57145,US,WQKF391,5,6755,30
57146,US,WQKF418,1,6825,5
57147,US,WQKF418,2,6765,10
57148,US,WQKF419,1,6226.89,30
57149,US,WQKF532,1,6034.15,30
57150,US,WQKF532,1,6093.45,30
57151,US,WQKF532,2,6034.15,30
57152,US,WQKF532,2,6093.45,30
57153,US,WQKF540,1,6152.75,30
57154,US,WQKF540,2,6685,30
57155,US,WQKF540,3,6152.75,30
57156,US,WQKF540,4,6555,30
57157,US,WQKF547,4,6345.49,27.4
57158,US,WQKF547,5,6197.24,27.4
57159,US,WQKF547,6,6152.75,27.4
57160,US,WQKF547,7,6256.54,27.4
57161,US,WQKF547,8,6226.89,27.4
57163,US,WQKF558,3,5974.85,27.4
57164,US,WQKF559,6,5945.2,27.4
57165,US,WQKF561,4,6197.24,27.4
57166,US,WQKF561,5,6226.89,27.4
57167,US,WQKF569,5,6093.45,27.4
57168,US,WQKF569,6,6286.19,27.4
57169,US,WQKF569,7,5974.85,27.4
57170,US,WQKF569,8,5945.2,27.4
57171,US,WQKF573,3,6226.89,27.4
57172,US,WQKF573,4,6286.19,27.4
57173,US,WQKF573,5,6004.5,27.4
57174,US,WQKF634,1,6286.19,30
57175,US,WQKF634,1,6345.49,30
57176,US,WQKF634,2,6404.79,30
57177,US,WQKF634,3,6845,30
57178,US,WQKF634,4,6725,30
57179,US,WQKF634,5,6815,30
57180,US,WQKF634,7,6404.79,30
57181,US,WQKF634,8,6286.19,30
57182,US,WQKF634,8,6345.49,30
57183,US,WQKF634,9,6197.24,30
57184,US,WQKF634,9,6375.14,30
57185,US,WQKF634,10,6725,30
57186,US,WQKF655,1,6315.84,30
57187,US,WQKF656,1,6063.8,30
57188,US,WQKF893,1,6685,10
57189,US,WQKF893,2,6645,10
57190,US,WQKF893,3,5974.85,30
57191,US,WQKF893,3,6034.15,30
57192,US,WQKF893,3,6093.45,30
57193,US,WQKF893,3,6152.75,30
57194,US,WQKF893,4,6063.8,30
57195,US,WQKF893,4,6123.1,30
57196,US,WQKF893,7,5974.85,30
57197,US,WQKF893,7,6034.15,30
57198,US,WQKF893,7,6093.45,30
57199,US,WQKF893,7,6152.75,30
57200,US,WQKF893,8,6063.8,30
57201,US,WQKF893,8,6123.1,30
