FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
31182,US,WPNG402,5,6197.24,30
31183,US,WPNG402,5,6256.54,30
31184,US,WPNG402,6,6226.89,30
31185,US,WPNG402,7,6256.54,30
31186,US,WPNG539,3,5974.85,30
31187,US,WPNG539,5,6004.5,30
31188,US,WPNG539,6,6785,30
31189,US,WPNG539,7,6019.325,60
31190,US,WPNG582,2,6197.24,30
31191,US,WPNG582,3,6785,10
31192,US,WPNG584,3,6256.54,30
31193,US,WPNG584,4,6286.19,30
31194,US,WPNG584,5,6345.49,30
31195,US,WPNG585,3,6034.15,30
31196,US,WPNG585,5,6093.45,30
31197,US,WPNG599,1,6417.14,5
31198,US,WPNG602,2,6004.5,30
31199,US,WPNG602,4,6063.8,30
31200,US,WPNG602,7,6093.45,30
31201,US,WPNG602,9,6123.1,30
31202,US,WPNG602,10,6152.75,30
31203,US,WPNG602,11,5945.2,30
31204,US,WPNG602,11,6034.15,30
31205,US,WPNG603,1,6315.84,30
31206,US,WPNG603,2,6745,10
31207,US,WPNG604,1,6775,10
31208,US,WPNG604,2,6745,5
31209,US,WPNG604,3,5974.85,30
31210,US,WPNG604,5,6034.15,30
31211,US,WPNG606,1,6197.24,30
31212,US,WPNG606,2,6093.45,30
31213,US,WPNG710,3,6212.065,56
31214,US,WPNG710,3,6271.365,56
31215,US,WPNG821,1,6860,5
31216,US,WPNG821,6,6555,30
31217,US,WPNG828,3,6389.965,60
31218,US,WPNG828,4,6315.84,30
31219,US,WPNG841,2,5945.2,30
31220,US,WPNG841,2,6004.5,30
31221,US,WPNG853,8,6152.75,30
31222,US,WPNG853,9,6755,30
31223,US,WPNG853,10,6785,30
31224,US,WPNG853,13,6152.75,30
31225,US,WPNG853,14,6755,30
31226,US,WPNG853,15,6785,30
31227,US,WPNG855,4,6315.84,30
31228,US,WPNG856,3,6137.925,60
31229,US,WPNG865,1,5974.85,30
31230,US,WPNG866,1,6226.89,30
31231,US,WPNG877,7,6375.14,30
31232,US,WPNG878,3,6123.1,30
31233,US,WPNG887,5,6226.89,27.3
31234,US,WPNG891,6,6755,30
31235,US,WPNG891,6,6815,30
31236,US,WPNG892,5,6795,10
31237,US,WPNG893,2,6695,10
31238,US,WPNG893,3,6286.19,30
31239,US,WPNG893,4,6226.89,30
31240,US,WPNG896,2,6755,5
31241,US,WPNG902,7,6815,10
31242,US,WPNG913,3,6825,5
31243,US,WPNG913,4,5974.85,30
31244,US,WPNG913,6,6034.15,30
31245,US,WPNG913,7,6093.45,30
31246,US,WPNG917,8,6063.8,30
31247,US,WPNG917,8,6123.1,30
31248,US,WPNG918,2,6004.5,30
31249,US,WPNG918,3,6004.5,30
31250,US,WPNG918,4,5974.85,10
31251,US,WPNG918,5,6034.15,30
31252,US,WPNG918,6,6004.5,30
31253,US,WPNG919,3,6256.54,30
31254,US,WPNG919,12,6226.89,30
31255,US,WPNG919,14,6197.24,10
31256,US,WPNG919,14,6286.19,10
31257,US,WPNG919,17,6256.54,30
31258,US,WPNG919,23,6256.54,30
31259,US,WPNG919,24,6226.89,30
31260,US,WPNG921,9,6375.14,30
31261,US,WPNG921,10,6375.14,30
31262,US,WPNG921,11,6197.24,30
