regex,Ant Model
[Hh][Pp] *6[-. ?]*6[-./ a-vx-zA-VX-Z0-9()]*,HP66
[Hh][Pp] *8[-. ?]*57[-./ a-zA-Z0-9()]*,HP857W
[Hh][Pp] *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP859
[Hh][Pp] *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,HP859W
[Hh][Pp] *8[-. ?]*186[-./ a-vx-zA-VX-Z0-9()]*,HP8186
[Hh][Pp] *8[-. ?]*611[-./ a-vx-zA-VX-Z0-9()]*,HP8611
[Hh][Pp] *8[-. ?]*6511[-./ a-vx-zA-VX-Z0-9()&]*,HP86511
[Hh][Pp] *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()&]*,HP865
[Hh][Pp] *10[-. ?]*57[-./ a-zA-Z0-9()]*,HP1057W
[Hh][Pp][- ]*10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP1059
[Hh][Pp] *10[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,HP1059W
[Hh][Pp] *10[-. ?]*611[-./ a-vx-zA-VX-Z0-9()]*,HP10611
[Hh][Pp] *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HP1065
[Hh][Pp][- ]*12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP1259
[Hh][Pp] *12[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,HP1259W
[Hh][Pp] *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HP1265
[Hh][Pp] *15[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP1559
HPD3-6,HPD36
HPD306,HPD36
HPD4-59,HPD459
HPD4-6,HPD46
HPD4-64,HPD464
HPD6-64,HPD664
HPD6-6,HPD66
HPD6[-. ?]*59,HPD659
HPX *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX1059
HPX *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HPX1065
HPX *10[-. ?]*A[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX10A59
HPX *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX1259
HPX *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HPX1265
HPX *15[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX1559
HPX *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX659
HPX *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HPX665
HPX *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX859
HPX *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HPX865
HPX *8A[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HPX8A59
HSX *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HSX1059
HSX *10[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HSX1064
HSX *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HSX1259
HSX *4[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HSX459
HSX *4[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HSX464
HSX *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HSX659
HSX *6[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HSX664
HSX *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HSX859
HSX *8[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HSX864
HX *10[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,HX106W
HX *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,HX66W
HX *8[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,HX86W
KS15676[ BCD]*,KS15676
KS-21972,KS21972
LX *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,LX66W
P *8[-. ?]*186[-./ a-vx-zA-VX-Z0-9()]*,P8186
PAAR *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,PAAR859W
PAARX *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,PAARX859W
PAD *10[-. ?]*50[-./ a-vx-zA-VX-Z0-9()]*,PAD1050
PAD *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PAD1059
PAD *10[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,PAD1064
PAD *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAD1065
PAD *10[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,PAD10W57
PAD *10[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,PAD10W59
PAD *1[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAD165
PAD *6[-. ?]*107[-./ a-vx-zA-VX-Z0-9()]*,PAD6107
PAD[- ]*6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PAD659
PAD *6[-. ?]*59W[-./ a-zA-Z0-9()]*,PAD659W
PAD *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAD665
PAD *6[-. ?]*[Ww]57[-./ a-vx-zA-VX-Z0-9()]*,PAD6W57
PAD *6[-. ?]*[Ww]59[-./ a-vx-zA-VX-Z0-9()]*,PAD6W59
PAD8-5\(A,PAD85
PAD *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PAD859
PAD *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,PAD859W
PAD *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAD865
PAD *8[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,PAD8W57
PAD *8[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,PAD8W59
PAD *8[-. ?]*W59W[-./ a-vx-zA-VX-Z0-9()]*,PAD8W59W
PAD[- ^]*W59B,PADW59
[Pp][Aa][Dd][Xx] *10[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,PADX10U57
[Pp][Aa][Dd][Xx] *10[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,PADX10W59
[Pp][Aa][Dd][Xx] *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PADX659
[Pp][Aa][Dd][Xx] *6[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,PADX6U57
[Pp][Aa][Dd][Xx] *6[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,PADX6W57
[Pp][Aa][Dd][Xx] *6[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,PADX6W59
[Pp][Aa][Dd][Xx] *8[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,PADX8U57
PADZ8-U57A,PADX8U57
[Pp][Aa][Dd][Xx] *8[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,PADX8W57
[Pp][Aa][Dd][Xx] *8[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,PADX8W59
[Pp][Aa][Dd][Xx] *8[-. ?]*W69[-./ a-vx-zA-VX-Z0-9()]*,PADX8W69
[Pp][Aa][Dd][Xx] *8[-. ?]*WA57[-./ a-vx-zA-VX-Z0-9()]*,PADX8WA57
[Pp][Aa][Rr] *10(&[0-9])?[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PAR1059
[Pp][Aa][Rr] *10(&[0-9])?[-. ?]*59W[-./ a-zA-Z0-9()]*,PAR1059W
[Pp][Aa][Rr] *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAR1065
[Pp][Aa][Rr] *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PAR1259
[Pp][Aa][Rr] *12[-. ?]*59-*W[-./ a-vx-zA-VX-Z0-9()]*,PAR1259W
[Pp][Aa][Rr] *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PAR1265
PAR6&6-59W,PAR6&659W
PAR6059,PAR6059
PAR6065A,PAR6065
PAR6065B RF,PAR6065
PAR[- ^]*65[ABDRF]*,PAR65
[Pp][Aa][Rr] *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()`]*,PAR659
[Pp][Aa][Rr] *6[-. ?]*59[- A]*W[-./ a-vx-zA-VX-Z0-9()]*,PAR659W
PAR[-. ?*]*65[-./ a-vx-zA-VX-Z0-9()]*RF,PAR65ARF
[Pp][Aa][Rr][- ]*6[-. ?/]*65[-./ a-vx-zA-VX-Z0-9()`]*,PAR665
PAR6-65A RFwqik561,PAR665
[Pp][Aa][Rr] *6[-. ?/]*65W[-./ a-vx-zA-VX-Z0-9()]*,PAR665W
[Pp][Aa][Rr] *6[-. ?]*69[-./ a-vx-zA-VX-Z0-9()]*,PAR669
PAR8065B LF,PAR8065
[Pp][Aa][Rr] *8(&[0-9])?[-. ?=]*59[-./ a-vx-zA-VX-Z0-9()]*,PAR859
[Pp][Aa][Rr] *8(&[0-9])?[-. ?=]*59[- ]*W[-./ a-vx-zA-VX-Z0-9()]*,PAR859W
[Pp][Aa][Rr][- ]*8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()&`]*,PAR865
[Pp][Aa][Rr][Xx] *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PARX1059
[Pp][Aa][Rr][Xx] *10[-. ?]*59W[-./ a-zA-Z0-9()]*,PARX1059W
[Pp][Aa][Rr][Xx] *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PARX1065
[Pp][Aa][Rr][Xx] *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PARX1259
[Pp][Aa][Rr][Xx] *6[-. ?/]*59[-./ a-vx-zA-VX-Z0-9()]*,PARX659
[Pp][Aa][Rr][Xx] *6[-. ?/]*59[Ww][-./ a-vx-zA-VX-Z0-9()]*,PARX659W
[Pp][Aa][Rr][Xx] *6[-. ?/]*65[-./ a-vx-zA-VX-Z0-9()]*,PARX665
[Pp][Aa][Rr][Xx] *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PARX859
[Pp][Aa][Rr][Xx] *8[-. ?]*59 *W[-./ a-vx-zA-VX-Z0-9()]*,PARX859W
[Pp][Aa][Rr][Xx] *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PARX865
PDH *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PDH865
[Pp][Ll] *4[-. ?]*107[-./ a-vx-zA-VX-Z0-9()]*,PL4107
PL\*-57W,PL57W
[Pp][Ll] *6[-. ?]*107[-./ a-vx-zA-VX-Z0-9()]*,PL6107
PL65-F,PL65
PPAD6-65B,PPAD665B
[Pp][Xx][Ll] *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PXL1259
RFMA-0736UH1\.2WS,RFMA0736UH1.2WS
SB *4[-. ?]*W60[-./ a-zA-Z0-9()]*,SB4W60
SB *6[-. ?]*W60[-./ a-zA-Z0-9()]*,SB6W60
SBX *4[-. ?]*W60[-./ a-zA-Z0-9()]*,SBX4W60
SBX *6[-. ?]*W60[-./ a-zA-Z0-9()]*,SBX6W60
SC *3[-. ?]*W60[-./ a-zA-Z0-9()]*,SC3W60
SCX *3[-. ?]*W60[-./ a-vx-zA-VX-Z0-9()]*,SCX3W60
SCX *3[-. ?]*W60W[-./ a-vx-zA-VX-Z0-9()]*,SCX3W60W
SHP6-59,SHP659
SHP6-6,SHP66
SHPD6-5\.9,SHPD65.9
SHPD6-59,SHPD659
SHPD6-6,SHPD66
SHPD6-6\.4,SHPD66.4
SHPD8-6,SHPD86
SHPD8-6.4,SHPD86
SP4-5\.9,SP45.9
SP6-5\.9,SP65.9
SPD6-5\.9,SPD65.9
SU4-59D,SU459
SU *6[-. ?]*59[-./ a-zA-Z0-9()]*,SU659
SU *6[-. ?]*65[-./ a-zA-Z0-9()]*,SU665
SU6-B59,SU6B59
SUX4-59A,SUX459
SUX4-65A,SUX465
SUX6-59B,SUX659
SUX6-59B RF,SUX659
SUX6-65B,SUX665
THP 12 059 D WB,THP12059DWB
TYA12U06WS,TYA12U06WS
TYA18U06WS,TYA18U06WS
TYA24U06WS,TYA24U06WS
UA *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UA1059
UA *10[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UA1059W
UA *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UA1065
UA *10[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UA10W59
UA *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UA1265
UA *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UA659
UA *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UA665
UA *6[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UA6W59
UA *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UA859
UA *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UA859W
UA *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UA865
UA *8[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UA8W59
UAX *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UAX1059
UHP *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHP659
UHP *6[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHP659W
UHP *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHP859W
UHP *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHP1059
UHP *10[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHP1059W
UHP *12[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHP1259W
UHP-MW-6-4,UHPMW64
UHX[- ]*6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX659
UHX *6[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHX659W
UHX *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UHX665
UHX *8&8[-. ?]*59[-/ a-zA-Z0-9()]*,UHX859
UHX[- ]*8[-. ?/]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX859
UHX *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHX859W
UHX *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UHX865
UHX *10[-. ?]*58[-./ a-vx-zA-VX-Z0-9()]*,UHX1058
UHX *10[-. ?]*58W[-./ a-vx-zA-VX-Z0-9()]*,UHX1058W
UHX *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX1059
UHX *10[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHX1059W
UHX *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UHX1065
UHX10J-59J *RF,UHX10J59
UHX *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX1259
UHX *12[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UHX1259W
UHX *12[-. ?]*65[-/ a-zA-Z0-9()]*,UHX1265
UHX *15[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX1559
UHX *60[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UHX6059
UKY 220 11/DC12,UKY22011DC
